"","year","ca","age_group","sex","diagnosis","number_of_deaths","crude_rate","LA_Name"
"6910",2012,"S12000045","75plus years","Female","Cerebrovascular Disease",NA,NA,"East Dunbartonshire"
"6911",2012,"S12000045","75plus years","Female","Stroke",NA,NA,"East Dunbartonshire"
"6912",2012,"S12000045","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"East Dunbartonshire"
"6913",2012,"S12000047","All","All","Cerebrovascular Disease",305,83.29,"Fife"
"6914",2012,"S12000047","All","All","Stroke",166,45.33,"Fife"
"6915",2012,"S12000047","All","All","Subarachnoid Haemorrhage",13,3.55,"Fife"
"6916",2012,"S12000047","All","Male","Cerebrovascular Disease",114,64.24,"Fife"
"6917",2012,"S12000047","All","Male","Stroke",57,32.12,"Fife"
"6918",2012,"S12000047","All","Male","Subarachnoid Haemorrhage",6,3.38,"Fife"
"6919",2012,"S12000047","All","Female","Cerebrovascular Disease",191,101.19,"Fife"
"6920",2012,"S12000047","All","Female","Stroke",109,57.74,"Fife"
"6921",2012,"S12000047","All","Female","Subarachnoid Haemorrhage",7,3.71,"Fife"
"6922",2012,"S12000047","0-44 years","All","Cerebrovascular Disease",NA,NA,"Fife"
"6923",2012,"S12000047","0-44 years","All","Stroke",NA,NA,"Fife"
"6924",2012,"S12000047","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6925",2012,"S12000047","0-44 years","Male","Cerebrovascular Disease",NA,NA,"Fife"
"6926",2012,"S12000047","0-44 years","Male","Stroke",NA,NA,"Fife"
"6927",2012,"S12000047","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"Fife"
"6928",2012,"S12000047","0-44 years","Female","Cerebrovascular Disease",NA,NA,"Fife"
"6929",2012,"S12000047","0-44 years","Female","Stroke",NA,NA,"Fife"
"6930",2012,"S12000047","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6931",2012,"S12000047","45-64 years","All","Cerebrovascular Disease",NA,NA,"Fife"
"6932",2012,"S12000047","45-64 years","All","Stroke",NA,NA,"Fife"
"6933",2012,"S12000047","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6934",2012,"S12000047","45-64 years","Male","Cerebrovascular Disease",NA,NA,"Fife"
"6935",2012,"S12000047","45-64 years","Male","Stroke",NA,NA,"Fife"
"6936",2012,"S12000047","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6937",2012,"S12000047","45-64 years","Female","Cerebrovascular Disease",NA,NA,"Fife"
"6938",2012,"S12000047","45-64 years","Female","Stroke",NA,NA,"Fife"
"6939",2012,"S12000047","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6940",2012,"S12000047","65-74 years","All","Cerebrovascular Disease",NA,NA,"Fife"
"6941",2012,"S12000047","65-74 years","All","Stroke",NA,NA,"Fife"
"6942",2012,"S12000047","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6943",2012,"S12000047","65-74 years","Male","Cerebrovascular Disease",NA,NA,"Fife"
"6944",2012,"S12000047","65-74 years","Male","Stroke",NA,NA,"Fife"
"6945",2012,"S12000047","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6946",2012,"S12000047","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Fife"
"6947",2012,"S12000047","65-74 years","Female","Stroke",NA,NA,"Fife"
"6948",2012,"S12000047","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6949",2012,"S12000047","under75 years","All","Cerebrovascular Disease",NA,NA,"Fife"
"6950",2012,"S12000047","under75 years","All","Stroke",NA,NA,"Fife"
"6951",2012,"S12000047","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6952",2012,"S12000047","under75 years","Male","Cerebrovascular Disease",NA,NA,"Fife"
"6953",2012,"S12000047","under75 years","Male","Stroke",NA,NA,"Fife"
"6954",2012,"S12000047","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6955",2012,"S12000047","under75 years","Female","Cerebrovascular Disease",NA,NA,"Fife"
"6956",2012,"S12000047","under75 years","Female","Stroke",NA,NA,"Fife"
"6957",2012,"S12000047","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6958",2012,"S12000047","75plus years","All","Cerebrovascular Disease",NA,NA,"Fife"
"6959",2012,"S12000047","75plus years","All","Stroke",NA,NA,"Fife"
"6960",2012,"S12000047","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6961",2012,"S12000047","75plus years","Male","Cerebrovascular Disease",NA,NA,"Fife"
"6962",2012,"S12000047","75plus years","Male","Stroke",NA,NA,"Fife"
"6963",2012,"S12000047","75plus years","Male","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6964",2012,"S12000047","75plus years","Female","Cerebrovascular Disease",NA,NA,"Fife"
"6965",2012,"S12000047","75plus years","Female","Stroke",NA,NA,"Fife"
"6966",2012,"S12000047","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"Fife"
"6967",2012,"S12000048","All","All","Cerebrovascular Disease",150,101.53,"Perth and Kinross"
"6968",2012,"S12000048","All","All","Stroke",92,62.27,"Perth and Kinross"
"6969",2012,"S12000048","All","All","Subarachnoid Haemorrhage",8,5.41,"Perth and Kinross"
"6970",2012,"S12000048","All","Male","Cerebrovascular Disease",59,81.91,"Perth and Kinross"
"6971",2012,"S12000048","All","Male","Stroke",36,49.98,"Perth and Kinross"
"6972",2012,"S12000048","All","Male","Subarachnoid Haemorrhage",5,6.94,"Perth and Kinross"
"6973",2012,"S12000048","All","Female","Cerebrovascular Disease",91,120.19,"Perth and Kinross"
"6974",2012,"S12000048","All","Female","Stroke",56,73.96,"Perth and Kinross"
"6975",2012,"S12000048","All","Female","Subarachnoid Haemorrhage",3,3.96,"Perth and Kinross"
"6976",2012,"S12000048","0-44 years","All","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6977",2012,"S12000048","0-44 years","All","Stroke",0,0,"Perth and Kinross"
"6978",2012,"S12000048","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"6979",2012,"S12000048","0-44 years","Male","Cerebrovascular Disease",0,0,"Perth and Kinross"
"6980",2012,"S12000048","0-44 years","Male","Stroke",0,0,"Perth and Kinross"
"6981",2012,"S12000048","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"Perth and Kinross"
"6982",2012,"S12000048","0-44 years","Female","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6983",2012,"S12000048","0-44 years","Female","Stroke",0,0,"Perth and Kinross"
"6984",2012,"S12000048","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"6985",2012,"S12000048","45-64 years","All","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6986",2012,"S12000048","45-64 years","All","Stroke",NA,NA,"Perth and Kinross"
"6987",2012,"S12000048","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"6988",2012,"S12000048","45-64 years","Male","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6989",2012,"S12000048","45-64 years","Male","Stroke",NA,NA,"Perth and Kinross"
"6990",2012,"S12000048","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"6991",2012,"S12000048","45-64 years","Female","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6992",2012,"S12000048","45-64 years","Female","Stroke",NA,NA,"Perth and Kinross"
"6993",2012,"S12000048","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"6994",2012,"S12000048","65-74 years","All","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6995",2012,"S12000048","65-74 years","All","Stroke",NA,NA,"Perth and Kinross"
"6996",2012,"S12000048","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"6997",2012,"S12000048","65-74 years","Male","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"6998",2012,"S12000048","65-74 years","Male","Stroke",NA,NA,"Perth and Kinross"
"6999",2012,"S12000048","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7000",2012,"S12000048","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7001",2012,"S12000048","65-74 years","Female","Stroke",NA,NA,"Perth and Kinross"
"7002",2012,"S12000048","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7003",2012,"S12000048","under75 years","All","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7004",2012,"S12000048","under75 years","All","Stroke",NA,NA,"Perth and Kinross"
"7005",2012,"S12000048","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7006",2012,"S12000048","under75 years","Male","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7007",2012,"S12000048","under75 years","Male","Stroke",NA,NA,"Perth and Kinross"
"7008",2012,"S12000048","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7009",2012,"S12000048","under75 years","Female","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7010",2012,"S12000048","under75 years","Female","Stroke",NA,NA,"Perth and Kinross"
"7011",2012,"S12000048","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7012",2012,"S12000048","75plus years","All","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7013",2012,"S12000048","75plus years","All","Stroke",NA,NA,"Perth and Kinross"
"7014",2012,"S12000048","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7015",2012,"S12000048","75plus years","Male","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7016",2012,"S12000048","75plus years","Male","Stroke",NA,NA,"Perth and Kinross"
"7017",2012,"S12000048","75plus years","Male","Subarachnoid Haemorrhage",NA,NA,"Perth and Kinross"
"7018",2012,"S12000048","75plus years","Female","Cerebrovascular Disease",NA,NA,"Perth and Kinross"
"7019",2012,"S12000048","75plus years","Female","Stroke",NA,NA,"Perth and Kinross"
"7020",2012,"S12000048","75plus years","Female","Subarachnoid Haemorrhage",0,0,"Perth and Kinross"
"7021",2012,"S12000046","All","All","Cerebrovascular Disease",481,80.83,NA
"7022",2012,"S12000046","All","All","Stroke",227,38.15,NA
"7023",2012,"S12000046","All","All","Subarachnoid Haemorrhage",24,4.03,NA
"7024",2012,"S12000046","All","Male","Cerebrovascular Disease",183,63.78,NA
"7025",2012,"S12000046","All","Male","Stroke",83,28.93,NA
"7026",2012,"S12000046","All","Male","Subarachnoid Haemorrhage",8,2.79,NA
"7027",2012,"S12000046","All","Female","Cerebrovascular Disease",298,96.71,NA
"7028",2012,"S12000046","All","Female","Stroke",144,46.73,NA
"7029",2012,"S12000046","All","Female","Subarachnoid Haemorrhage",16,5.19,NA
"7030",2012,"S12000046","0-44 years","All","Cerebrovascular Disease",NA,NA,NA
"7031",2012,"S12000046","0-44 years","All","Stroke",NA,NA,NA
"7032",2012,"S12000046","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7033",2012,"S12000046","0-44 years","Male","Cerebrovascular Disease",NA,NA,NA
"7034",2012,"S12000046","0-44 years","Male","Stroke",NA,NA,NA
"7035",2012,"S12000046","0-44 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7036",2012,"S12000046","0-44 years","Female","Cerebrovascular Disease",NA,NA,NA
"7037",2012,"S12000046","0-44 years","Female","Stroke",NA,NA,NA
"7038",2012,"S12000046","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7039",2012,"S12000046","45-64 years","All","Cerebrovascular Disease",NA,NA,NA
"7040",2012,"S12000046","45-64 years","All","Stroke",NA,NA,NA
"7041",2012,"S12000046","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7042",2012,"S12000046","45-64 years","Male","Cerebrovascular Disease",NA,NA,NA
"7043",2012,"S12000046","45-64 years","Male","Stroke",NA,NA,NA
"7044",2012,"S12000046","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7045",2012,"S12000046","45-64 years","Female","Cerebrovascular Disease",NA,NA,NA
"7046",2012,"S12000046","45-64 years","Female","Stroke",NA,NA,NA
"7047",2012,"S12000046","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7048",2012,"S12000046","65-74 years","All","Cerebrovascular Disease",NA,NA,NA
"7049",2012,"S12000046","65-74 years","All","Stroke",NA,NA,NA
"7050",2012,"S12000046","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7051",2012,"S12000046","65-74 years","Male","Cerebrovascular Disease",NA,NA,NA
"7052",2012,"S12000046","65-74 years","Male","Stroke",NA,NA,NA
"7053",2012,"S12000046","65-74 years","Male","Subarachnoid Haemorrhage",0,0,NA
"7054",2012,"S12000046","65-74 years","Female","Cerebrovascular Disease",NA,NA,NA
"7055",2012,"S12000046","65-74 years","Female","Stroke",NA,NA,NA
"7056",2012,"S12000046","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7057",2012,"S12000046","under75 years","All","Cerebrovascular Disease",NA,NA,NA
"7058",2012,"S12000046","under75 years","All","Stroke",NA,NA,NA
"7059",2012,"S12000046","under75 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7060",2012,"S12000046","under75 years","Male","Cerebrovascular Disease",NA,NA,NA
"7061",2012,"S12000046","under75 years","Male","Stroke",NA,NA,NA
"7062",2012,"S12000046","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7063",2012,"S12000046","under75 years","Female","Cerebrovascular Disease",NA,NA,NA
"7064",2012,"S12000046","under75 years","Female","Stroke",NA,NA,NA
"7065",2012,"S12000046","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7066",2012,"S12000046","75plus years","All","Cerebrovascular Disease",NA,NA,NA
"7067",2012,"S12000046","75plus years","All","Stroke",NA,NA,NA
"7068",2012,"S12000046","75plus years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7069",2012,"S12000046","75plus years","Male","Cerebrovascular Disease",NA,NA,NA
"7070",2012,"S12000046","75plus years","Male","Stroke",NA,NA,NA
"7071",2012,"S12000046","75plus years","Male","Subarachnoid Haemorrhage",0,0,NA
"7072",2012,"S12000046","75plus years","Female","Cerebrovascular Disease",NA,NA,NA
"7073",2012,"S12000046","75plus years","Female","Stroke",NA,NA,NA
"7074",2012,"S12000046","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7075",2012,"S12000044","All","All","Cerebrovascular Disease",228,67.48,NA
"7076",2012,"S12000044","All","All","Stroke",129,38.18,NA
"7077",2012,"S12000044","All","All","Subarachnoid Haemorrhage",19,5.62,NA
"7078",2012,"S12000044","All","Male","Cerebrovascular Disease",88,53.85,NA
"7079",2012,"S12000044","All","Male","Stroke",48,29.37,NA
"7080",2012,"S12000044","All","Male","Subarachnoid Haemorrhage",8,4.9,NA
"7081",2012,"S12000044","All","Female","Cerebrovascular Disease",140,80.24,NA
"7082",2012,"S12000044","All","Female","Stroke",81,46.42,NA
"7083",2012,"S12000044","All","Female","Subarachnoid Haemorrhage",11,6.3,NA
"7084",2012,"S12000044","0-44 years","All","Cerebrovascular Disease",NA,NA,NA
"7085",2012,"S12000044","0-44 years","All","Stroke",NA,NA,NA
"7086",2012,"S12000044","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7087",2012,"S12000044","0-44 years","Male","Cerebrovascular Disease",NA,NA,NA
"7088",2012,"S12000044","0-44 years","Male","Stroke",NA,NA,NA
"7089",2012,"S12000044","0-44 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7090",2012,"S12000044","0-44 years","Female","Cerebrovascular Disease",NA,NA,NA
"7091",2012,"S12000044","0-44 years","Female","Stroke",0,0,NA
"7092",2012,"S12000044","0-44 years","Female","Subarachnoid Haemorrhage",0,0,NA
"7093",2012,"S12000044","45-64 years","All","Cerebrovascular Disease",NA,NA,NA
"7094",2012,"S12000044","45-64 years","All","Stroke",NA,NA,NA
"7095",2012,"S12000044","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7096",2012,"S12000044","45-64 years","Male","Cerebrovascular Disease",NA,NA,NA
"7097",2012,"S12000044","45-64 years","Male","Stroke",NA,NA,NA
"7098",2012,"S12000044","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7099",2012,"S12000044","45-64 years","Female","Cerebrovascular Disease",NA,NA,NA
"7100",2012,"S12000044","45-64 years","Female","Stroke",NA,NA,NA
"7101",2012,"S12000044","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7102",2012,"S12000044","65-74 years","All","Cerebrovascular Disease",NA,NA,NA
"7103",2012,"S12000044","65-74 years","All","Stroke",NA,NA,NA
"7104",2012,"S12000044","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7105",2012,"S12000044","65-74 years","Male","Cerebrovascular Disease",NA,NA,NA
"7106",2012,"S12000044","65-74 years","Male","Stroke",NA,NA,NA
"7107",2012,"S12000044","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7108",2012,"S12000044","65-74 years","Female","Cerebrovascular Disease",NA,NA,NA
"7109",2012,"S12000044","65-74 years","Female","Stroke",NA,NA,NA
"7110",2012,"S12000044","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7111",2012,"S12000044","under75 years","All","Cerebrovascular Disease",NA,NA,NA
"7112",2012,"S12000044","under75 years","All","Stroke",NA,NA,NA
"7113",2012,"S12000044","under75 years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7114",2012,"S12000044","under75 years","Male","Cerebrovascular Disease",NA,NA,NA
"7115",2012,"S12000044","under75 years","Male","Stroke",NA,NA,NA
"7116",2012,"S12000044","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,NA
"7117",2012,"S12000044","under75 years","Female","Cerebrovascular Disease",NA,NA,NA
"7118",2012,"S12000044","under75 years","Female","Stroke",NA,NA,NA
"7119",2012,"S12000044","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7120",2012,"S12000044","75plus years","All","Cerebrovascular Disease",NA,NA,NA
"7121",2012,"S12000044","75plus years","All","Stroke",NA,NA,NA
"7122",2012,"S12000044","75plus years","All","Subarachnoid Haemorrhage",NA,NA,NA
"7123",2012,"S12000044","75plus years","Male","Cerebrovascular Disease",NA,NA,NA
"7124",2012,"S12000044","75plus years","Male","Stroke",NA,NA,NA
"7125",2012,"S12000044","75plus years","Male","Subarachnoid Haemorrhage",0,0,NA
"7126",2012,"S12000044","75plus years","Female","Cerebrovascular Disease",NA,NA,NA
"7127",2012,"S12000044","75plus years","Female","Stroke",NA,NA,NA
"7128",2012,"S12000044","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,NA
"7129",2013,"S92000003","All","All","Cerebrovascular Disease",4452,83.56,NA
"7130",2013,"S92000003","All","All","Stroke",2483,46.61,NA
"7131",2013,"S92000003","All","All","Subarachnoid Haemorrhage",175,3.28,NA
"7132",2013,"S92000003","All","Male","Cerebrovascular Disease",1776,68.66,NA
"7133",2013,"S92000003","All","Male","Stroke",958,37.04,NA
"7134",2013,"S92000003","All","Male","Subarachnoid Haemorrhage",56,2.16,NA
"7135",2013,"S92000003","All","Female","Cerebrovascular Disease",2676,97.63,NA
"7136",2013,"S92000003","All","Female","Stroke",1525,55.64,NA
"7137",2013,"S92000003","All","Female","Subarachnoid Haemorrhage",119,4.34,NA
"7138",2013,"S92000003","0-44 years","All","Cerebrovascular Disease",43,1.47,NA
"7139",2013,"S92000003","0-44 years","All","Stroke",20,0.69,NA
"7140",2013,"S92000003","0-44 years","All","Subarachnoid Haemorrhage",17,0.58,NA
"7141",2013,"S92000003","0-44 years","Male","Cerebrovascular Disease",23,1.58,NA
"7142",2013,"S92000003","0-44 years","Male","Stroke",13,0.89,NA
"7143",2013,"S92000003","0-44 years","Male","Subarachnoid Haemorrhage",8,0.55,NA
"7144",2013,"S92000003","0-44 years","Female","Cerebrovascular Disease",20,1.37,NA
"7145",2013,"S92000003","0-44 years","Female","Stroke",7,0.48,NA
"7146",2013,"S92000003","0-44 years","Female","Subarachnoid Haemorrhage",9,0.62,NA
"7147",2013,"S92000003","45-64 years","All","Cerebrovascular Disease",301,20.56,NA
"7148",2013,"S92000003","45-64 years","All","Stroke",167,11.41,NA
"7149",2013,"S92000003","45-64 years","All","Subarachnoid Haemorrhage",72,4.92,NA
"7150",2013,"S92000003","45-64 years","Male","Cerebrovascular Disease",164,22.96,NA
"7151",2013,"S92000003","45-64 years","Male","Stroke",91,12.74,NA
"7152",2013,"S92000003","45-64 years","Male","Subarachnoid Haemorrhage",29,4.06,NA
"7153",2013,"S92000003","45-64 years","Female","Cerebrovascular Disease",137,18.27,NA
"7154",2013,"S92000003","45-64 years","Female","Stroke",76,10.14,NA
"7155",2013,"S92000003","45-64 years","Female","Subarachnoid Haemorrhage",43,5.74,NA
"7156",2013,"S92000003","65-74 years","All","Cerebrovascular Disease",582,111.43,NA
"7157",2013,"S92000003","65-74 years","All","Stroke",341,65.29,NA
"7158",2013,"S92000003","65-74 years","All","Subarachnoid Haemorrhage",45,8.62,NA
"7159",2013,"S92000003","65-74 years","Male","Cerebrovascular Disease",307,124.3,NA
"7160",2013,"S92000003","65-74 years","Male","Stroke",186,75.31,NA
"7161",2013,"S92000003","65-74 years","Male","Subarachnoid Haemorrhage",10,4.05,NA
"7162",2013,"S92000003","65-74 years","Female","Cerebrovascular Disease",275,99.89,NA
"7163",2013,"S92000003","65-74 years","Female","Stroke",155,56.3,NA
"7164",2013,"S92000003","65-74 years","Female","Subarachnoid Haemorrhage",35,12.71,NA
"7165",2013,"S92000003","under75 years","All","Cerebrovascular Disease",926,18.89,NA
"7166",2013,"S92000003","under75 years","All","Stroke",528,10.77,NA
"7167",2013,"S92000003","under75 years","All","Subarachnoid Haemorrhage",134,2.73,NA
"7168",2013,"S92000003","under75 years","Male","Cerebrovascular Disease",494,20.43,NA
"7169",2013,"S92000003","under75 years","Male","Stroke",290,11.99,NA
"7170",2013,"S92000003","under75 years","Male","Subarachnoid Haemorrhage",47,1.94,NA
"7171",2013,"S92000003","under75 years","Female","Cerebrovascular Disease",432,17.39,NA
"7172",2013,"S92000003","under75 years","Female","Stroke",238,9.58,NA
"7173",2013,"S92000003","under75 years","Female","Subarachnoid Haemorrhage",87,3.5,NA
"7174",2013,"S92000003","75plus years","All","Cerebrovascular Disease",3526,830.44,NA
"7175",2013,"S92000003","75plus years","All","Stroke",1955,460.44,NA
"7176",2013,"S92000003","75plus years","All","Subarachnoid Haemorrhage",41,9.66,NA
"7177",2013,"S92000003","75plus years","Male","Cerebrovascular Disease",1282,761.85,NA
"7178",2013,"S92000003","75plus years","Male","Stroke",668,396.97,NA
"7179",2013,"S92000003","75plus years","Male","Subarachnoid Haemorrhage",9,5.35,NA
"7180",2013,"S92000003","75plus years","Female","Cerebrovascular Disease",2244,875.46,NA
"7181",2013,"S92000003","75plus years","Female","Stroke",1287,502.1,NA
"7182",2013,"S92000003","75plus years","Female","Subarachnoid Haemorrhage",32,12.48,NA
"7183",2013,"S12000005","All","All","Cerebrovascular Disease",44,85.8,"Clackmannanshire"
"7184",2013,"S12000005","All","All","Stroke",28,54.6,"Clackmannanshire"
"7185",2013,"S12000005","All","All","Subarachnoid Haemorrhage",1,1.95,"Clackmannanshire"
"7186",2013,"S12000005","All","Male","Cerebrovascular Disease",15,59.64,"Clackmannanshire"
"7187",2013,"S12000005","All","Male","Stroke",9,35.78,"Clackmannanshire"
"7188",2013,"S12000005","All","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7189",2013,"S12000005","All","Female","Cerebrovascular Disease",29,110.99,"Clackmannanshire"
"7190",2013,"S12000005","All","Female","Stroke",19,72.72,"Clackmannanshire"
"7191",2013,"S12000005","All","Female","Subarachnoid Haemorrhage",1,3.83,"Clackmannanshire"
"7192",2013,"S12000005","0-44 years","All","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7193",2013,"S12000005","0-44 years","All","Stroke",0,0,"Clackmannanshire"
"7194",2013,"S12000005","0-44 years","All","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7195",2013,"S12000005","0-44 years","Male","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7196",2013,"S12000005","0-44 years","Male","Stroke",0,0,"Clackmannanshire"
"7197",2013,"S12000005","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7198",2013,"S12000005","0-44 years","Female","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7199",2013,"S12000005","0-44 years","Female","Stroke",0,0,"Clackmannanshire"
"7200",2013,"S12000005","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7201",2013,"S12000005","45-64 years","All","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7202",2013,"S12000005","45-64 years","All","Stroke",0,0,"Clackmannanshire"
"7203",2013,"S12000005","45-64 years","All","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7204",2013,"S12000005","45-64 years","Male","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7205",2013,"S12000005","45-64 years","Male","Stroke",0,0,"Clackmannanshire"
"7206",2013,"S12000005","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7207",2013,"S12000005","45-64 years","Female","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7208",2013,"S12000005","45-64 years","Female","Stroke",0,0,"Clackmannanshire"
"7209",2013,"S12000005","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7210",2013,"S12000005","65-74 years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"7211",2013,"S12000005","65-74 years","All","Stroke",NA,NA,"Clackmannanshire"
"7212",2013,"S12000005","65-74 years","All","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7213",2013,"S12000005","65-74 years","Male","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7214",2013,"S12000005","65-74 years","Male","Stroke",0,0,"Clackmannanshire"
"7215",2013,"S12000005","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7216",2013,"S12000005","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"7217",2013,"S12000005","65-74 years","Female","Stroke",NA,NA,"Clackmannanshire"
"7218",2013,"S12000005","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7219",2013,"S12000005","under75 years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"7220",2013,"S12000005","under75 years","All","Stroke",NA,NA,"Clackmannanshire"
"7221",2013,"S12000005","under75 years","All","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7222",2013,"S12000005","under75 years","Male","Cerebrovascular Disease",0,0,"Clackmannanshire"
"7223",2013,"S12000005","under75 years","Male","Stroke",0,0,"Clackmannanshire"
"7224",2013,"S12000005","under75 years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7225",2013,"S12000005","under75 years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"7226",2013,"S12000005","under75 years","Female","Stroke",NA,NA,"Clackmannanshire"
"7227",2013,"S12000005","under75 years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"7228",2013,"S12000005","75plus years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"7229",2013,"S12000005","75plus years","All","Stroke",NA,NA,"Clackmannanshire"
"7230",2013,"S12000005","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"7231",2013,"S12000005","75plus years","Male","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
